,Unnamed: 0_x,business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,Unnamed: 0_y,review_id,user_id,stars_y,useful,funny,cool,text,date
0,38,LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,IL,62025,38.8043945,-89.94973320000001,4.5,12,1,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums","{'Monday': '10:0-15:0', 'Tuesday': '9:30-14:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '9:30-17:30', 'Saturday': '9:30-17:30'}",313,LfsU2lVUr1-pC802v0o32A,mRgAqvxz9jHYpm8ccIjZUQ,5.0,0,0,0,Place rocks excellent children's activities and great staff this is one treasure in our community that needs to be publicized more I feel my child loves this place.  We are very fortunate to have such a place in our community and we live to attend activities there and make it a frequent stop for us,2016-07-04 20:56:17
13,41,ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.18620329870001,3.0,94,1,"{'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True'}","Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:30', 'Wednesday': '16:0-21:30', 'Thursday': '16:0-21:30', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-21:30'}",20,uiqzlDEsUN_y1awEw_HHDA,qmQPWMV_YYmwV2DyvmIDYQ,5.0,0,0,0,"We had been driving around for some time, on a weekday last week.  This was our last time in town, as we had sold our home in Alton.  So, after going to 3 different restaurants and finding that they are closed for various reasons, we decided we would come here.  WOW,  Seriously, everything happens for a reason, and WOW.   We were maybe one of the first patrons in the restaurant upon opening.  The ambiance is lovely.  We were greeted warmly initially, and the warmness continued throughout our visit.  As I said prior, the ambiance is lovely, the decor is SO just want to take it home.  The service was impeccable, our waitress was attentive, friendly, knowledgeable, and smiley.  OMG. The food.  THE FOOD!!!!  We had their summer special .  Holy COW, were they fantastic!  Entrees were   seafood shrimp Alfredo and our friend and I had the steak.  Honestly, you cannot go wrong with anything that you order from Tony's.  Top notch, old school dining experience, which is RARE.",2018-07-17 01:07:49
118,48,bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5343 Belleville Crossing St,Belleville,IL,62226,38.517585600000004,-90.0219285,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Shipping Centers, Local Services",,1378,oZqb2LRrJFaEjTz9ETzpPA,BHrWZS0J0FuJuLqeNk6J7w,5.0,0,0,0,"I love this little local business. They have everything I could ever need for local and long distance shipping along with a pleasant attitude that makes me a loyal customer. From boxes, to mailboxes, making keys, these guys have a great business that keeps people coming through the door.",2017-01-20 14:13:47
123,86,sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,820 Industrial Dr,Troy,IL,62294,38.7162443,-89.8858296,4.0,5,1,,"Pet Groomers, Pet Sitting, Pets, Pet Services","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-14:0'}",194,UjBwlySBW4iPpFWGOw5Xkw,SE85OT0FKxeL28izk-5POg,4.0,3,0,0,This is another great local business.  Our two hounds always get their pawdicures here.  The staff is always friendly and treat our fur babies as thier own.  Ziggy and Straty say so!,2011-03-25 17:36:39
128,102,EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,38.6012982,-89.9896835,2.5,14,1,"{'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True'}","Seafood, Restaurants","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",3261,DrWMCBMRweRydBEk-OLKYg,h3o-SqWjDeMI2fCJI63-jg,1.0,0,0,0,"Waiter was absolutely terrible ordered our food and waited a hour and a half for it. Let our alcoholic drinks sit and water down at the bar for 20 mins. Dropped our crab at the table and before we could ask for anything he ran off. Wasn't busy at all, waitresses and waiters were standing and laughing and talking at the bar no one was helping us or anyone else, had to get up finally and pick up our own drinks from the bar Because he wouldn't bring them to us.",2021-11-06 02:07:15
142,175,JnbSkfsl_j2dUoHncBTonA,Collision XS,1416 Centreville Ave,Belleville,IL,62220,38.502278600000004,-90.00616971,4.5,6,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Auto Repair, Body Shops, Automotive","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",2164,XAIoHvN3shd5xQYFCkwUUA,Sy1EVxGT_1fquqFpbvSiXw,5.0,0,0,0,If you need you car repaired here is the place to go. I had a vehicle side swiped and they made it look brand new.,2016-04-21 20:34:58
148,207,8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,,Smithton,IL,62285,38.3935,-90.0107,1.0,11,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Plumbing, Home Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",25,bpJVtdUQKHSo47N2wDhftQ,OblyhlnqPrGzcFrXlJ2Y0A,1.0,6,0,0,"I have an AHS warranty. These guys were sent out. Spent all of 8 minutes tryi g to up lugged. Then told me I needed to put a clean out opening down stair in my finished basement bathroom. Which of course wouldn't be covered by my warranty. Called Roto Rooter, they came out had my drain unclogged in less than 15 minutes. Don't wastes your time or money. They seemed more interested in the service call fee than actually doing any work!",2012-01-04 04:02:15
160,374,gRw-rxLFeNzyqa6hKPXD1w,Heitz Optical,2415 Homer M Adams Pkwy,Alton,IL,62002,38.918418,-90.151949,4.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Eyewear & Opticians, Sporting Goods, Shopping, Medical Supplies, Laser Eye Surgery/Lasik, Optometrists, Health & Medical, Outdoor Gear","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-13:0'}",882,kkYE7Uw1c-GpPJsWDgy20A,bYvoMHVOfNiiw2fWIrqA2g,5.0,2,0,0,"So thankful we discovered Heitz Optical.  What a great place!  The staff is friendly and very knowledgable about the eyewear they sell.  The Drs. are amazing too.  They are always punctual, and that is important to me. 

 One time I could not get to the office before they closed, and Drew took my contacts and put them in his mail box so I could get them from there on my way home from a meeting in STL.  Now that is customer service! 

We will always use Heitz Optical.",2016-07-09 15:46:13
165,501,uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,210 South Buchanan,Edwardsville,IL,62025,38.8105909,-89.95248409999999,3.0,10,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Chicken Shop, Ramen, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '16:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '16:0-22:0'}",3134,S6eoT0pVwR17tVYYhCgI5w,9dD8kG1NwiOOA8sDQz117Q,3.0,1,0,0,"I would give it 3.5 stars if Yelp allows me. 
I ordered the Steak Ramen and the Chicken ramen and a nashville fried chicken.
The Nashville Fried Chicken is so so delicious. It came with cole slaw, pickles, buns and 2 pieces of chicken. The chicken is moist, the skin is crispy is well-seasoned. The cole slaw goes really well with the spiciness of the chicken. 
Ramen: I would not say this is authentic ramen. Does not mean it is not good. It's just Asian-infused and more Westernized. Both steak ramen and chicken ramen are flavorful. The only thing I had to rate them down because they are both way too salty. I had to pour out all the broth in the bowl, put hot water in twice and it was still salty. 

I would definitely come back for Nashville Fried Chicken. Maybe will give Ramen another chance.",2020-09-24 23:56:48
175,661,WYVDN3VDDTiEUV0QR8D2Hg,Ron & Jo's Firearms & Sporting Supplies,1562 Frontage Rd,O Fallon,IL,62269,38.5984757,-89.9591083,3.5,6,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsPriceRange2': '2'}","Guns & Ammo, Sporting Goods, Shopping","{'Tuesday': '11:0-18:30', 'Wednesday': '11:0-18:30', 'Thursday': '11:0-18:30', 'Friday': '11:0-18:30', 'Saturday': '10:0-18:30'}",3274,WJr3x5zmX05H6tnS5KKH-Q,aIRYcsPg-c6tfpmumevQ3A,1.0,0,0,0,Hands down the worst customer service every single time I've been there. They all act like they're better than their customers (if you can actually get one of them to speak to you at all) and condescend to you from start to finish. They are an absolute last resort for anything. Last straw was today when I stood in line for 30 minutes just to be able to go past the entrance and stand there for another almost 15 minutes while they all looked right at me and walked right past. Absolute trash.,2021-03-10 21:49:11
